Component_1st,Component_2nd,Continent
-0.561620047520574,-1.350719017648466,Asia
-0.9089061234357383,0.9515579816033873,Africa
-0.8355061925863138,0.5007322397603441,North America
-0.928157053866051,1.074359465961326,Africa
-0.9283142578489753,1.1011709091769273,Africa
-0.8595805266005713,1.2679434329170074,North America
-0.9453912926085644,1.0292839664782727,North America
-0.9182082470952495,1.0497903549611216,Asia
-0.9454019222554879,1.089735712761425,Asia
-0.6881087970813528,-0.7950080105167171,North America
-0.702235449649224,-0.3180207657011263,Africa
-0.7064571662839345,-0.7033425266785268,North America
-0.8276513942446149,0.2810686631673234,Africa
-0.610062945637348,-1.8903428269376281,Africa
-0.8593469210905819,0.3647776868288261,Africa
-0.9405099045409955,1.0996132345842908,Africa
-0.7916144278958387,0.0869720281065078,Africa
-0.7861700980203291,-0.20718441907420168,Africa
-0.7298020438781221,-0.5563348438412258,Europe
-0.9547946284047691,0.921729574515893,South America
-0.7393706558156722,-0.2595173442076775,South America
-0.934900393613474,1.0243393977483186,Africa
-0.9536246049283355,0.8269338934309568,Europe
-0.9700696142854306,1.0295374301188016,Australia/Oceania
-0.6705187447179904,-0.9582534900527026,Africa
-0.6520327731655581,-1.1612124674601807,South America
-0.9688474581944553,1.0613045386104862,Australia/Oceania
-0.9760433702141991,1.03170320055181,North America
-0.8542880915108392,0.2032430792797381,Africa
-0.8992780602373818,0.6319924146665219,North America
-0.9687547044680149,1.0580410165345757,Africa
-0.3714362673615992,-4.324119135385956,Asia
-0.6348945338116305,-1.1605596427593434,Africa
-0.7567272020754844,-0.053607670585148176,Australia/Oceania
-0.9480246630351821,0.8540313599843997,North America
-0.9709087154106728,1.0427191802324196,Africa
-0.9552673272608636,1.080237558003813,Europe
-0.899871473158705,0.48849109644456085,Africa
-0.7241952910032766,-0.8870144227325045,Africa
-0.9747866885533492,1.0629059863414285,Africa
-0.9596877493616642,1.0539064139089576,Africa
-0.9781047721559659,1.0160032938371042,Africa
-0.9084323782305844,1.0170923988321083,Europe
-0.7410188926350462,-0.2507805430717022,North America
-0.9669640420565799,1.0926183227216686,North America
-0.7681626899092014,-0.8094579714123986,Africa
-0.9816655418633546,1.0440385814034225,North America
-0.983748055233895,1.0632595207032605,Africa
-0.9792104601446824,1.063528750174152,Asia
-0.2373081819978169,-4.406346108024729,Europe
-0.5562277992790778,-1.7572396216419515,Africa
-0.974042861768411,0.9394694336901681,Africa
-0.9663668348307346,0.8822712684497279,Africa
-0.41406607157620234,-2.5373738200454636,Asia
-0.985836821180517,1.040663879073944,North America
-0.7389283548478287,-0.30695296893512175,Asia
-0.5001488553798443,-2.531226334119915,Africa
-0.9772652226116461,0.978901992970478,North America
-0.8193190354926225,-0.3584830381402272,North America
-0.8006677528010222,-0.2995111548227284,Asia
-0.94007494157556,1.106461782926576,Africa
-0.9718753456211671,0.9223496356281103,Europe
-0.7214647278835754,-0.7248614249515661,Europe
-0.6857001225299847,-0.9462475637645072,Africa
-0.6861703193250411,-0.7440573482427106,Africa
-0.9901986597790488,1.0381117294415327,Europe
-0.9644603475457307,1.10622278324067,Africa
-0.7026740239844668,-0.8485792039783778,North America
-0.9833745779905638,1.002899772943671,North America
-0.9767569926028122,0.9551954074370063,Africa
-0.8326593112780654,0.24415907521591082,North America
-0.9843021808399838,1.0350278973449631,North America
-0.975255754573777,1.0850718118930616,Asia
-0.931478657906986,0.5243899915363652,Australia/Oceania
-0.8677582293199304,0.34301804532758084,Europe
-0.9543493753557226,0.8134876025393145,North America
-0.6751515697286995,-1.518678073758152,North America
-0.8580229329016948,0.1757073471432625,Africa
-0.831857564219222,-0.29375556315304324,Africa
-0.9809129391687991,0.9905478337504877,North America
-0.9756187447147315,0.9155062696436129,Africa
-0.8099101981356338,-0.374408177178328,Africa
-0.9325626864792986,0.4800168962570092,North America
-0.7797006498317667,-0.838489139718336,Africa
-0.8916501667790199,0.3758360444003355,Africa
-0.9194435557108676,0.505507192003875,Australia/Oceania
-0.9990834161641505,1.0505462066350137,North America
-0.9991537432037212,1.051396458628712,Africa
-0.9999808211678239,1.0503403498121309,North America
-0.9981420891428894,1.033550455254383,North America
-0.9999620200456831,1.0509118114852036,Australia/Oceania
